Workplace Zone Code,Supergroup Code,Supergroup Name,Group Code,Group Name
E33006842,F,Rural,F4,Traditional countryside
E33006843,A,Retail,A2,Market squares
E33006844,D,Suburban services,D1,Non-metropolitan suburban areas
E33006845,D,Suburban services,D1,Non-metropolitan suburban areas
E33006846,G,Servants of society,G2,Healthcare and public administration
E33006847,D,Suburban services,D1,Non-metropolitan suburban areas
E33006848,D,Suburban services,D2,Primarily residential suburbs
E33006849,F,Rural,F4,Traditional countryside
E33006850,D,Suburban services,D2,Primarily residential suburbs
E33006851,D,Suburban services,D1,Non-metropolitan suburban areas
E33006852,D,Suburban services,D1,Non-metropolitan suburban areas
E33006853,D,Suburban services,D2,Primarily residential suburbs
E33006854,D,Suburban services,D1,Non-metropolitan suburban areas
E33006855,D,Suburban services,D1,Non-metropolitan suburban areas
E33006856,D,Suburban services,D2,Primarily residential suburbs
E33006857,D,Suburban services,D2,Primarily residential suburbs
E33006858,D,Suburban services,D1,Non-metropolitan suburban areas
E33006859,D,Suburban services,D1,Non-metropolitan suburban areas
E33006860,D,Suburban services,D1,Non-metropolitan suburban areas
E33006861,D,Suburban services,D1,Non-metropolitan suburban areas
E33006862,A,Retail,A2,Market squares
E33006863,D,Suburban services,D2,Primarily residential suburbs
E33006864,D,Suburban services,D1,Non-metropolitan suburban areas
E33006865,D,Suburban services,D2,Primarily residential suburbs
E33006866,G,Servants of society,G3,Large scale education
E33006867,D,Suburban services,D2,Primarily residential suburbs
E33006868,F,Rural,F1,Town fringe countryside 
E33006869,F,Rural,F4,Traditional countryside
E33006870,D,Suburban services,D2,Primarily residential suburbs
E33006871,D,Suburban services,D1,Non-metropolitan suburban areas
E33006872,D,Suburban services,D2,Primarily residential suburbs
E33006873,D,Suburban services,D2,Primarily residential suburbs
E33006874,D,Suburban services,D1,Non-metropolitan suburban areas
E33006875,G,Servants of society,G3,Large scale education
E33006876,F,Rural,F4,Traditional countryside
E33006877,D,Suburban services,D1,Non-metropolitan suburban areas
E33006878,D,Suburban services,D1,Non-metropolitan suburban areas
E33006879,D,Suburban services,D1,Non-metropolitan suburban areas
E33006880,G,Servants of society,G1,Public administration and security
E33006881,G,Servants of society,G1,Public administration and security
E33006882,A,Retail,A2,Market squares
E33006883,A,Retail,A2,Market squares
E33006884,A,Retail,A2,Market squares
E33006885,D,Suburban services,D2,Primarily residential suburbs
E33006886,F,Rural,F4,Traditional countryside
E33006887,D,Suburban services,D1,Non-metropolitan suburban areas
E33006888,D,Suburban services,D2,Primarily residential suburbs
E33006889,D,Suburban services,D2,Primarily residential suburbs
E33006890,F,Rural,F1,Town fringe countryside 
E33006891,F,Rural,F1,Town fringe countryside 
E33006892,D,Suburban services,D1,Non-metropolitan suburban areas
E33006893,D,Suburban services,D1,Non-metropolitan suburban areas
E33006894,D,Suburban services,D1,Non-metropolitan suburban areas
E33006895,D,Suburban services,D1,Non-metropolitan suburban areas
E33006896,D,Suburban services,D2,Primarily residential suburbs
E33006897,D,Suburban services,D2,Primarily residential suburbs
E33006898,F,Rural,F2,Accessible countryside
E33006899,F,Rural,F4,Traditional countryside
E33006900,D,Suburban services,D2,Primarily residential suburbs
E33006901,D,Suburban services,D2,Primarily residential suburbs
E33006902,D,Suburban services,D1,Non-metropolitan suburban areas
E33006903,D,Suburban services,D1,Non-metropolitan suburban areas
E33006904,G,Servants of society,G1,Public administration and security
E33006905,D,Suburban services,D1,Non-metropolitan suburban areas
E33006906,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33006907,D,Suburban services,D1,Non-metropolitan suburban areas
E33006908,D,Suburban services,D2,Primarily residential suburbs
E33006909,D,Suburban services,D2,Primarily residential suburbs
E33006910,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33006911,D,Suburban services,D2,Primarily residential suburbs
E33006912,F,Rural,F3,Rural with mining or quarrying
E33006913,D,Suburban services,D2,Primarily residential suburbs
E33006914,D,Suburban services,D1,Non-metropolitan suburban areas
E33006915,G,Servants of society,G3,Large scale education
E33006916,G,Servants of society,G2,Healthcare and public administration
E33006917,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33006918,D,Suburban services,D1,Non-metropolitan suburban areas
E33006919,D,Suburban services,D1,Non-metropolitan suburban areas
E33006920,D,Suburban services,D2,Primarily residential suburbs
E33006921,D,Suburban services,D1,Non-metropolitan suburban areas
E33006922,G,Servants of society,G3,Large scale education
E33006923,D,Suburban services,D1,Non-metropolitan suburban areas
E33006924,G,Servants of society,G3,Large scale education
E33006925,D,Suburban services,D1,Non-metropolitan suburban areas
E33006926,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33006927,D,Suburban services,D1,Non-metropolitan suburban areas
E33006928,A,Retail,A1,Low density wholesale and retail
E33006929,G,Servants of society,G3,Large scale education
E33006930,D,Suburban services,D1,Non-metropolitan suburban areas
E33006931,D,Suburban services,D1,Non-metropolitan suburban areas
E33006932,A,Retail,A4,Traditional high streets
E33006933,E,Manufacturing and distribution,E3,Business parks
E33006934,D,Suburban services,D1,Non-metropolitan suburban areas
E33006935,A,Retail,A3,Multiethnic urban high streets
E33006936,G,Servants of society,G1,Public administration and security
E33006937,G,Servants of society,G2,Healthcare and public administration
E33006938,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33006939,F,Rural,F1,Town fringe countryside 
E33006940,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33006941,D,Suburban services,D2,Primarily residential suburbs
E33006942,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33006943,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33006944,F,Rural,F2,Accessible countryside
E33006945,E,Manufacturing and distribution,E3,Business parks
E33006946,E,Manufacturing and distribution,E3,Business parks
E33006947,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33006948,D,Suburban services,D2,Primarily residential suburbs
E33006949,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33006950,E,Manufacturing and distribution,E3,Business parks
E33006951,B,City and business parks,B5,Science and business parks
E33006952,D,Suburban services,D1,Non-metropolitan suburban areas
E33006953,D,Suburban services,D1,Non-metropolitan suburban areas
E33006954,D,Suburban services,D2,Primarily residential suburbs
E33006955,D,Suburban services,D2,Primarily residential suburbs
E33006956,D,Suburban services,D1,Non-metropolitan suburban areas
E33006957,D,Suburban services,D1,Non-metropolitan suburban areas
E33006958,D,Suburban services,D1,Non-metropolitan suburban areas
E33006959,D,Suburban services,D1,Non-metropolitan suburban areas
E33006960,F,Rural,F3,Rural with mining or quarrying
E33006961,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33006962,D,Suburban services,D1,Non-metropolitan suburban areas
E33006963,D,Suburban services,D1,Non-metropolitan suburban areas
E33006964,D,Suburban services,D1,Non-metropolitan suburban areas
E33006965,D,Suburban services,D1,Non-metropolitan suburban areas
E33006966,D,Suburban services,D1,Non-metropolitan suburban areas
E33006967,D,Suburban services,D1,Non-metropolitan suburban areas
E33006968,G,Servants of society,G3,Large scale education
E33006969,D,Suburban services,D2,Primarily residential suburbs
E33006970,D,Suburban services,D1,Non-metropolitan suburban areas
E33006971,D,Suburban services,D1,Non-metropolitan suburban areas
E33006972,G,Servants of society,G2,Healthcare and public administration
E33006973,E,Manufacturing and distribution,E3,Business parks
E33006974,D,Suburban services,D1,Non-metropolitan suburban areas
E33006975,D,Suburban services,D1,Non-metropolitan suburban areas
E33006976,D,Suburban services,D1,Non-metropolitan suburban areas
E33006977,F,Rural,F3,Rural with mining or quarrying
E33006978,F,Rural,F1,Town fringe countryside 
E33006979,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33006980,A,Retail,A1,Low density wholesale and retail
E33006981,F,Rural,F3,Rural with mining or quarrying
E33006982,F,Rural,F2,Accessible countryside
E33006983,D,Suburban services,D2,Primarily residential suburbs
E33006984,F,Rural,F2,Accessible countryside
E33006985,F,Rural,F4,Traditional countryside
E33006986,D,Suburban services,D1,Non-metropolitan suburban areas
E33006987,D,Suburban services,D2,Primarily residential suburbs
E33006988,D,Suburban services,D1,Non-metropolitan suburban areas
E33006989,G,Servants of society,G2,Healthcare and public administration
E33006990,F,Rural,F1,Town fringe countryside 
E33006991,G,Servants of society,G1,Public administration and security
E33006992,E,Manufacturing and distribution,E3,Business parks
E33006993,E,Manufacturing and distribution,E3,Business parks
E33006994,D,Suburban services,D2,Primarily residential suburbs
E33006995,D,Suburban services,D2,Primarily residential suburbs
E33006996,F,Rural,F4,Traditional countryside
E33006997,D,Suburban services,D1,Non-metropolitan suburban areas
E33006998,D,Suburban services,D2,Primarily residential suburbs
E33006999,D,Suburban services,D2,Primarily residential suburbs
E33007000,D,Suburban services,D1,Non-metropolitan suburban areas
E33007001,D,Suburban services,D1,Non-metropolitan suburban areas
E33007002,D,Suburban services,D2,Primarily residential suburbs
E33007003,D,Suburban services,D1,Non-metropolitan suburban areas
E33007004,G,Servants of society,G3,Large scale education
E33007005,D,Suburban services,D2,Primarily residential suburbs
E33007006,G,Servants of society,G1,Public administration and security
E33007007,E,Manufacturing and distribution,E3,Business parks
E33007008,E,Manufacturing and distribution,E3,Business parks
E33007009,D,Suburban services,D2,Primarily residential suburbs
E33007010,D,Suburban services,D1,Non-metropolitan suburban areas
E33007011,D,Suburban services,D2,Primarily residential suburbs
E33007012,D,Suburban services,D1,Non-metropolitan suburban areas
E33007013,D,Suburban services,D2,Primarily residential suburbs
E33007014,D,Suburban services,D1,Non-metropolitan suburban areas
E33007015,D,Suburban services,D1,Non-metropolitan suburban areas
E33007016,D,Suburban services,D1,Non-metropolitan suburban areas
E33007017,D,Suburban services,D2,Primarily residential suburbs
E33007018,D,Suburban services,D1,Non-metropolitan suburban areas
E33007019,G,Servants of society,G3,Large scale education
E33007020,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33007021,D,Suburban services,D1,Non-metropolitan suburban areas
E33007022,D,Suburban services,D2,Primarily residential suburbs
E33007023,D,Suburban services,D1,Non-metropolitan suburban areas
E33007024,D,Suburban services,D2,Primarily residential suburbs
E33007025,E,Manufacturing and distribution,E2,Industrial units
E33007026,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33007027,G,Servants of society,G2,Healthcare and public administration
E33007028,D,Suburban services,D1,Non-metropolitan suburban areas
E33007029,G,Servants of society,G2,Healthcare and public administration
E33007030,G,Servants of society,G2,Healthcare and public administration
E33007031,D,Suburban services,D1,Non-metropolitan suburban areas
E33007032,D,Suburban services,D2,Primarily residential suburbs
E33007033,F,Rural,F1,Town fringe countryside 
E33007034,D,Suburban services,D1,Non-metropolitan suburban areas
E33007035,D,Suburban services,D2,Primarily residential suburbs
E33007036,D,Suburban services,D1,Non-metropolitan suburban areas
E33007037,D,Suburban services,D2,Primarily residential suburbs
E33007038,D,Suburban services,D2,Primarily residential suburbs
E33007039,D,Suburban services,D1,Non-metropolitan suburban areas
E33007040,D,Suburban services,D2,Primarily residential suburbs
E33007041,D,Suburban services,D2,Primarily residential suburbs
E33007042,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33007043,D,Suburban services,D1,Non-metropolitan suburban areas
E33007044,D,Suburban services,D2,Primarily residential suburbs
E33007045,A,Retail,A1,Low density wholesale and retail
E33007046,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33007047,D,Suburban services,D1,Non-metropolitan suburban areas
E33007048,A,Retail,A1,Low density wholesale and retail
E33007049,E,Manufacturing and distribution,E2,Industrial units
E33007050,F,Rural,F1,Town fringe countryside 
E33007051,D,Suburban services,D1,Non-metropolitan suburban areas
E33007052,D,Suburban services,D1,Non-metropolitan suburban areas
E33007053,F,Rural,F2,Accessible countryside
E33007054,G,Servants of society,G1,Public administration and security
E33007055,D,Suburban services,D1,Non-metropolitan suburban areas
E33007056,D,Suburban services,D2,Primarily residential suburbs
E33007057,D,Suburban services,D1,Non-metropolitan suburban areas
E33007058,F,Rural,F1,Town fringe countryside 
E33007059,G,Servants of society,G3,Large scale education
E33007060,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33007061,D,Suburban services,D2,Primarily residential suburbs
E33007062,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33007063,D,Suburban services,D1,Non-metropolitan suburban areas
E33007064,D,Suburban services,D2,Primarily residential suburbs
E33007065,D,Suburban services,D1,Non-metropolitan suburban areas
E33007066,D,Suburban services,D1,Non-metropolitan suburban areas
E33007067,D,Suburban services,D2,Primarily residential suburbs
E33007068,F,Rural,F3,Rural with mining or quarrying
E33007069,D,Suburban services,D2,Primarily residential suburbs
E33007070,F,Rural,F2,Accessible countryside
E33007071,F,Rural,F4,Traditional countryside
E33007072,D,Suburban services,D1,Non-metropolitan suburban areas
E33007073,A,Retail,A2,Market squares
E33007074,F,Rural,F2,Accessible countryside
E33007075,D,Suburban services,D2,Primarily residential suburbs
E33007076,D,Suburban services,D1,Non-metropolitan suburban areas
E33007077,D,Suburban services,D2,Primarily residential suburbs
E33007078,D,Suburban services,D2,Primarily residential suburbs
E33007079,D,Suburban services,D2,Primarily residential suburbs
E33007080,D,Suburban services,D1,Non-metropolitan suburban areas
E33007081,D,Suburban services,D2,Primarily residential suburbs
E33007082,D,Suburban services,D2,Primarily residential suburbs
E33007083,D,Suburban services,D2,Primarily residential suburbs
E33007084,D,Suburban services,D2,Primarily residential suburbs
E33007085,A,Retail,A2,Market squares
E33007086,D,Suburban services,D2,Primarily residential suburbs
E33007087,F,Rural,F1,Town fringe countryside 
E33007088,D,Suburban services,D2,Primarily residential suburbs
E33007089,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33007090,F,Rural,F2,Accessible countryside
E33007091,D,Suburban services,D2,Primarily residential suburbs
E33007092,D,Suburban services,D2,Primarily residential suburbs
E33007093,D,Suburban services,D1,Non-metropolitan suburban areas
E33007094,F,Rural,F3,Rural with mining or quarrying
E33007095,D,Suburban services,D1,Non-metropolitan suburban areas
E33007096,D,Suburban services,D1,Non-metropolitan suburban areas
E33007097,D,Suburban services,D2,Primarily residential suburbs
E33007098,G,Servants of society,G3,Large scale education
E33007099,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33007100,F,Rural,F2,Accessible countryside
E33007101,C,Metro suburbs,C5,Professional home-workers in outer suburbs
E33007102,D,Suburban services,D2,Primarily residential suburbs
E33007103,C,Metro suburbs,C4,Self-employed tradespeople in multicultural metro suburbs
E33007104,D,Suburban services,D1,Non-metropolitan suburban areas
E33007105,C,Metro suburbs,C1,Teachers and carers in metro suburbs
E33007106,C,Metro suburbs,C3,Metro suburban distribution industries
E33007107,D,Suburban services,D1,Non-metropolitan suburban areas
E33007108,C,Metro suburbs,C5,Professional home-workers in outer suburbs
E33007109,C,Metro suburbs,C3,Metro suburban distribution industries
E33007110,C,Metro suburbs,C1,Teachers and carers in metro suburbs
E33007111,C,Metro suburbs,C3,Metro suburban distribution industries
E33007112,C,Metro suburbs,C3,Metro suburban distribution industries
E33007113,D,Suburban services,D1,Non-metropolitan suburban areas
E33007114,D,Suburban services,D2,Primarily residential suburbs
E33007115,D,Suburban services,D1,Non-metropolitan suburban areas
E33007116,C,Metro suburbs,C3,Metro suburban distribution industries
E33007117,E,Manufacturing and distribution,E2,Industrial units
E33007118,E,Manufacturing and distribution,E2,Industrial units
E33007119,C,Metro suburbs,C1,Teachers and carers in metro suburbs
E33007120,G,Servants of society,G2,Healthcare and public administration
E33007121,C,Metro suburbs,C1,Teachers and carers in metro suburbs
E33007122,C,Metro suburbs,C3,Metro suburban distribution industries
E33007123,C,Metro suburbs,C3,Metro suburban distribution industries
E33007124,C,Metro suburbs,C1,Teachers and carers in metro suburbs
E33007125,D,Suburban services,D1,Non-metropolitan suburban areas
E33007126,C,Metro suburbs,C3,Metro suburban distribution industries
E33007127,C,Metro suburbs,C3,Metro suburban distribution industries
E33007128,E,Manufacturing and distribution,E2,Industrial units
E33007129,G,Servants of society,G2,Healthcare and public administration
E33007130,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33007131,D,Suburban services,D2,Primarily residential suburbs
E33007132,D,Suburban services,D1,Non-metropolitan suburban areas
E33007133,G,Servants of society,G3,Large scale education
E33007134,D,Suburban services,D2,Primarily residential suburbs
E33007135,D,Suburban services,D1,Non-metropolitan suburban areas
E33007136,D,Suburban services,D1,Non-metropolitan suburban areas
E33007137,D,Suburban services,D2,Primarily residential suburbs
E33007138,D,Suburban services,D1,Non-metropolitan suburban areas
E33007139,F,Rural,F4,Traditional countryside
E33007140,G,Servants of society,G3,Large scale education
E33007141,F,Rural,F2,Accessible countryside
E33007142,D,Suburban services,D2,Primarily residential suburbs
E33007143,D,Suburban services,D1,Non-metropolitan suburban areas
E33007144,E,Manufacturing and distribution,E3,Business parks
E33007145,G,Servants of society,G2,Healthcare and public administration
E33007146,D,Suburban services,D1,Non-metropolitan suburban areas
E33007147,D,Suburban services,D1,Non-metropolitan suburban areas
E33007148,D,Suburban services,D1,Non-metropolitan suburban areas
E33007149,D,Suburban services,D2,Primarily residential suburbs
E33007150,D,Suburban services,D1,Non-metropolitan suburban areas
E33007151,D,Suburban services,D1,Non-metropolitan suburban areas
E33007152,D,Suburban services,D1,Non-metropolitan suburban areas
E33007153,E,Manufacturing and distribution,E2,Industrial units
E33007154,D,Suburban services,D1,Non-metropolitan suburban areas
E33007155,D,Suburban services,D1,Non-metropolitan suburban areas
E33007156,D,Suburban services,D2,Primarily residential suburbs
E33007157,E,Manufacturing and distribution,E3,Business parks
E33007158,D,Suburban services,D2,Primarily residential suburbs
E33007159,D,Suburban services,D1,Non-metropolitan suburban areas
E33007160,D,Suburban services,D1,Non-metropolitan suburban areas
E33007161,D,Suburban services,D2,Primarily residential suburbs
E33007162,D,Suburban services,D1,Non-metropolitan suburban areas
E33007163,D,Suburban services,D1,Non-metropolitan suburban areas
E33007164,D,Suburban services,D2,Primarily residential suburbs
E33007165,F,Rural,F4,Traditional countryside
E33007166,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33007167,F,Rural,F1,Town fringe countryside 
E33007168,D,Suburban services,D2,Primarily residential suburbs
E33007169,F,Rural,F4,Traditional countryside
E33007170,F,Rural,F3,Rural with mining or quarrying
E33007171,F,Rural,F4,Traditional countryside
E33007172,F,Rural,F3,Rural with mining or quarrying
E33007173,D,Suburban services,D1,Non-metropolitan suburban areas
E33007174,D,Suburban services,D2,Primarily residential suburbs
E33007175,D,Suburban services,D1,Non-metropolitan suburban areas
E33007176,A,Retail,A1,Low density wholesale and retail
E33007177,D,Suburban services,D2,Primarily residential suburbs
E33007178,D,Suburban services,D1,Non-metropolitan suburban areas
E33007179,D,Suburban services,D1,Non-metropolitan suburban areas
E33007180,D,Suburban services,D1,Non-metropolitan suburban areas
E33007181,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33007182,G,Servants of society,G3,Large scale education
E33007183,D,Suburban services,D1,Non-metropolitan suburban areas
E33007184,D,Suburban services,D2,Primarily residential suburbs
E33007185,D,Suburban services,D2,Primarily residential suburbs
E33007186,D,Suburban services,D2,Primarily residential suburbs
E33007187,D,Suburban services,D1,Non-metropolitan suburban areas
E33007188,G,Servants of society,G3,Large scale education
E33007189,D,Suburban services,D1,Non-metropolitan suburban areas
E33007190,D,Suburban services,D1,Non-metropolitan suburban areas
E33007191,D,Suburban services,D1,Non-metropolitan suburban areas
E33007192,D,Suburban services,D2,Primarily residential suburbs
E33007193,D,Suburban services,D2,Primarily residential suburbs
E33007194,A,Retail,A3,Multiethnic urban high streets
E33007195,A,Retail,A1,Low density wholesale and retail
E33007196,D,Suburban services,D1,Non-metropolitan suburban areas
E33007197,A,Retail,A1,Low density wholesale and retail
E33007198,D,Suburban services,D1,Non-metropolitan suburban areas
E33007199,A,Retail,A2,Market squares
E33007200,D,Suburban services,D1,Non-metropolitan suburban areas
E33007201,D,Suburban services,D1,Non-metropolitan suburban areas
E33007202,D,Suburban services,D1,Non-metropolitan suburban areas
E33007203,D,Suburban services,D1,Non-metropolitan suburban areas
E33007204,D,Suburban services,D1,Non-metropolitan suburban areas
E33007205,G,Servants of society,G3,Large scale education
E33007206,D,Suburban services,D1,Non-metropolitan suburban areas
E33007207,D,Suburban services,D1,Non-metropolitan suburban areas
E33007208,D,Suburban services,D1,Non-metropolitan suburban areas
E33007209,F,Rural,F3,Rural with mining or quarrying
E33007210,D,Suburban services,D1,Non-metropolitan suburban areas
E33007211,G,Servants of society,G2,Healthcare and public administration
E33007212,D,Suburban services,D1,Non-metropolitan suburban areas
E33007213,D,Suburban services,D1,Non-metropolitan suburban areas
E33007214,D,Suburban services,D1,Non-metropolitan suburban areas
E33007215,A,Retail,A2,Market squares
E33007216,D,Suburban services,D2,Primarily residential suburbs
E33007217,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33007218,D,Suburban services,D1,Non-metropolitan suburban areas
E33007219,D,Suburban services,D1,Non-metropolitan suburban areas
E33007220,D,Suburban services,D2,Primarily residential suburbs
E33007221,D,Suburban services,D1,Non-metropolitan suburban areas
E33007222,D,Suburban services,D1,Non-metropolitan suburban areas
E33007223,D,Suburban services,D2,Primarily residential suburbs
E33007224,G,Servants of society,G3,Large scale education
E33007225,D,Suburban services,D1,Non-metropolitan suburban areas
E33007226,D,Suburban services,D2,Primarily residential suburbs
E33007227,A,Retail,A6,"Eat, drink and be merry"
E33007228,D,Suburban services,D2,Primarily residential suburbs
E33007229,D,Suburban services,D1,Non-metropolitan suburban areas
E33007230,A,Retail,A1,Low density wholesale and retail
E33007231,D,Suburban services,D1,Non-metropolitan suburban areas
E33007232,G,Servants of society,G1,Public administration and security
E33007233,D,Suburban services,D1,Non-metropolitan suburban areas
E33007234,G,Servants of society,G1,Public administration and security
E33007235,D,Suburban services,D1,Non-metropolitan suburban areas
E33007236,G,Servants of society,G3,Large scale education
E33007237,G,Servants of society,G1,Public administration and security
E33007238,A,Retail,A1,Low density wholesale and retail
E33007239,D,Suburban services,D1,Non-metropolitan suburban areas
E33007240,D,Suburban services,D1,Non-metropolitan suburban areas
E33007241,D,Suburban services,D1,Non-metropolitan suburban areas
E33007242,D,Suburban services,D1,Non-metropolitan suburban areas
E33007243,D,Suburban services,D1,Non-metropolitan suburban areas
E33007244,D,Suburban services,D1,Non-metropolitan suburban areas
E33007245,D,Suburban services,D2,Primarily residential suburbs
E33007246,D,Suburban services,D2,Primarily residential suburbs
E33007247,A,Retail,A6,"Eat, drink and be merry"
E33007248,D,Suburban services,D2,Primarily residential suburbs
E33007249,D,Suburban services,D1,Non-metropolitan suburban areas
E33007250,A,Retail,A2,Market squares
E33007251,D,Suburban services,D1,Non-metropolitan suburban areas
E33007252,D,Suburban services,D2,Primarily residential suburbs
E33007253,D,Suburban services,D1,Non-metropolitan suburban areas
E33007254,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33007255,F,Rural,F1,Town fringe countryside 
E33007256,D,Suburban services,D1,Non-metropolitan suburban areas
E33007257,D,Suburban services,D1,Non-metropolitan suburban areas
E33007258,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33007259,D,Suburban services,D2,Primarily residential suburbs
E33007260,D,Suburban services,D2,Primarily residential suburbs
E33007261,D,Suburban services,D2,Primarily residential suburbs
E33007262,D,Suburban services,D1,Non-metropolitan suburban areas
E33007263,F,Rural,F3,Rural with mining or quarrying
E33007264,F,Rural,F3,Rural with mining or quarrying
E33007265,F,Rural,F2,Accessible countryside
E33007266,F,Rural,F4,Traditional countryside
E33007267,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33007268,F,Rural,F3,Rural with mining or quarrying
E33007269,F,Rural,F3,Rural with mining or quarrying
E33007270,F,Rural,F2,Accessible countryside
E33007271,F,Rural,F2,Accessible countryside
E33007272,D,Suburban services,D2,Primarily residential suburbs
E33007273,G,Servants of society,G1,Public administration and security
E33007274,G,Servants of society,G3,Large scale education
E33007275,D,Suburban services,D2,Primarily residential suburbs
E33007276,D,Suburban services,D2,Primarily residential suburbs
E33007277,D,Suburban services,D1,Non-metropolitan suburban areas
E33007278,D,Suburban services,D2,Primarily residential suburbs
E33007279,C,Metro suburbs,C5,Professional home-workers in outer suburbs
E33007280,D,Suburban services,D2,Primarily residential suburbs
E33007281,D,Suburban services,D2,Primarily residential suburbs
E33007282,G,Servants of society,G3,Large scale education
E33007283,G,Servants of society,G3,Large scale education
E33007284,D,Suburban services,D1,Non-metropolitan suburban areas
E33007285,D,Suburban services,D1,Non-metropolitan suburban areas
E33007286,G,Servants of society,G1,Public administration and security
E33007287,D,Suburban services,D2,Primarily residential suburbs
E33007288,C,Metro suburbs,C1,Teachers and carers in metro suburbs
E33007289,D,Suburban services,D1,Non-metropolitan suburban areas
E33007290,F,Rural,F3,Rural with mining or quarrying
E33007291,F,Rural,F3,Rural with mining or quarrying
E33007292,F,Rural,F4,Traditional countryside
E33007293,G,Servants of society,G3,Large scale education
E33007294,F,Rural,F4,Traditional countryside
E33007295,F,Rural,F2,Accessible countryside
E33007296,D,Suburban services,D2,Primarily residential suburbs
E33007297,F,Rural,F3,Rural with mining or quarrying
E33007298,D,Suburban services,D2,Primarily residential suburbs
E33007299,A,Retail,A2,Market squares
E33007300,G,Servants of society,G2,Healthcare and public administration
E33007301,G,Servants of society,G1,Public administration and security
E33007302,A,Retail,A2,Market squares
E33007303,G,Servants of society,G1,Public administration and security
E33007304,D,Suburban services,D1,Non-metropolitan suburban areas
E33007305,A,Retail,A2,Market squares
E33007306,F,Rural,F3,Rural with mining or quarrying
E33007307,D,Suburban services,D2,Primarily residential suburbs
E33007308,G,Servants of society,G3,Large scale education
E33007309,G,Servants of society,G3,Large scale education
E33007310,D,Suburban services,D2,Primarily residential suburbs
E33007311,A,Retail,A1,Low density wholesale and retail
E33007312,A,Retail,A4,Traditional high streets
E33007313,A,Retail,A6,"Eat, drink and be merry"
E33007314,D,Suburban services,D2,Primarily residential suburbs
E33007315,D,Suburban services,D2,Primarily residential suburbs
E33007316,D,Suburban services,D2,Primarily residential suburbs
E33007317,D,Suburban services,D2,Primarily residential suburbs
E33007318,F,Rural,F3,Rural with mining or quarrying
E33007319,D,Suburban services,D1,Non-metropolitan suburban areas
E33007320,F,Rural,F4,Traditional countryside
E33007321,F,Rural,F4,Traditional countryside
E33007322,F,Rural,F3,Rural with mining or quarrying
E33007323,F,Rural,F2,Accessible countryside
E33007324,A,Retail,A1,Low density wholesale and retail
E33007325,D,Suburban services,D2,Primarily residential suburbs
E33007326,D,Suburban services,D2,Primarily residential suburbs
E33007327,F,Rural,F4,Traditional countryside
E33007328,D,Suburban services,D2,Primarily residential suburbs
E33007329,D,Suburban services,D2,Primarily residential suburbs
E33007330,D,Suburban services,D2,Primarily residential suburbs
E33007331,D,Suburban services,D1,Non-metropolitan suburban areas
E33007332,G,Servants of society,G3,Large scale education
E33007333,D,Suburban services,D2,Primarily residential suburbs
E33007334,G,Servants of society,G1,Public administration and security
E33007335,D,Suburban services,D2,Primarily residential suburbs
E33007336,F,Rural,F3,Rural with mining or quarrying
E33007337,D,Suburban services,D2,Primarily residential suburbs
E33007338,F,Rural,F4,Traditional countryside
E33007339,E,Manufacturing and distribution,E3,Business parks
E33007340,F,Rural,F3,Rural with mining or quarrying
E33007341,F,Rural,F3,Rural with mining or quarrying
E33007342,F,Rural,F2,Accessible countryside
E33007343,F,Rural,F2,Accessible countryside
E33007344,F,Rural,F4,Traditional countryside
E33007345,F,Rural,F1,Town fringe countryside 
E33007346,F,Rural,F2,Accessible countryside
E33007347,F,Rural,F1,Town fringe countryside 
E33007348,F,Rural,F4,Traditional countryside
E33007349,F,Rural,F3,Rural with mining or quarrying
E33007350,F,Rural,F1,Town fringe countryside 
